state,year,pub_insurance_for_unauth_kids,pub_insurance_lpr_kids,hc_pregnant_unauth,hc_pregnant_lpr,snap_for_immigrants,tuition_equity,financial_aid,e_verify,definition_of_employee,drivers_license,real_id,secure_communities,omnibus,sanctuary_city,annual_score,neg
Alabama,2011,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-10,-10
Alabama,2012,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-11,-11
Alabama,2013,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-11,-11
Alabama,2014,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-11,-11
Alabama,2015,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,-10,-10
Alabama,2016,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,-10,-10
Alabama,2017,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-11,-11
Alabama,2018,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,-10,-10
Alabama,2019,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,-10,-10
Alaska,2011,0,-1,-1,-1,0,-1,-1,0,0,-1,1,0,0,0,-5,-6
Alaska,2012,0,-1,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,-6,-7
Alaska,2013,0,-1,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,-6,-7
Alaska,2014,0,-1,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,-6,-7
Alaska,2015,0,-1,-1,-1,0,-1,-1,0,0,-1,1,0,0,0,-5,-6
Alaska,2016,0,-1,-1,-1,0,-1,-1,0,0,-1,1,0,0,0,-5,-6
Alaska,2017,0,-1,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,-6,-7
Alaska,2018,0,-1,-1,-1,0,-1,-1,0,0,-1,1,0,0,0,-5,-6
Alaska,2019,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,0,0,0,-7,-7
Arizona,2011,0,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1,-8,-10
Arizona,2012,0,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1,-8,-10
Arizona,2013,0,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1,-8,-10
Arizona,2014,0,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1,-8,-10
Arizona,2015,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,-1,-9,-10
Arizona,2016,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,-1,-9,-10
Arizona,2017,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-10,-11
Arizona,2018,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,-1,-9,-10
Arizona,2019,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,-1,-9,-10
Arkansas,2011,0,-1,1,0,0,-1,-1,0,1,-1,1,-1,0,0,-2,-5
Arkansas,2012,0,-1,1,0,0,-1,-1,0,1,-1,1,-1,0,0,-2,-5
Arkansas,2013,0,-1,1,0,0,-1,-1,0,1,-1,1,-1,0,0,-2,-5
Arkansas,2014,0,-1,1,0,0,-1,-1,0,1,-1,1,-1,0,0,-2,-5
Arkansas,2015,0,-1,1,0,0,-1,-1,0,1,-1,-1,0,0,0,-3,-5
Arkansas,2016,0,-1,1,0,0,-1,-1,0,1,-1,-1,0,0,0,-3,-5
Arkansas,2017,0,1,1,0,0,-1,-1,0,1,-1,-1,-1,0,0,-2,-5
Arkansas,2018,0,1,1,0,0,-1,-1,0,1,-1,-1,0,0,0,-1,-4
